[0.008s][info][gc,init] CardTable entry size: 512
[0.009s][info][gc     ] Using G1
[0.025s][info][gc,init] Version: 21.0.2+13-58 (release)
[0.025s][info][gc,init] CPUs: 16 total, 16 available
[0.025s][info][gc,init] Memory: 32555M
[0.025s][info][gc,init] Large Page Support: Disabled
[0.025s][info][gc,init] NUMA Support: Disabled
[0.025s][info][gc,init] Compressed Oops: Enabled (Zero based)
[0.025s][info][gc,init] Heap Region Size: 4M
[0.025s][info][gc,init] Heap Min Capacity: 7G
[0.025s][info][gc,init] Heap Initial Capacity: 7G
[0.025s][info][gc,init] Heap Max Capacity: 7G
[0.025s][info][gc,init] Pre-touch: Disabled
[0.025s][info][gc,init] Parallel Workers: 13
[0.025s][info][gc,init] Concurrent Workers: 3
[0.025s][info][gc,init] Concurrent Refinement Workers: 13
[0.026s][info][gc,init] Periodic GC: Disabled
[0.034s][info][gc,metaspace] CDS archive(s) mapped at: [0x0000029725000000-0x0000029725c90000-0x0000029725c90000), size 13172736, SharedBaseAddress: 0x0000029725000000, ArchiveRelocationMode: 1.
[0.034s][info][gc,metaspace] Compressed class space mapped at: 0x0000029726000000-0x0000029766000000, reserved size: 1073741824
[0.034s][info][gc,metaspace] Narrow klass base: 0x0000029725000000, Narrow klass shift: 0, Narrow klass range: 0x100000000
[3.523s][info][gc,start    ] GC(0) Pause Young (Normal) (G1 Evacuation Pause)
[3.524s][info][gc,task     ] GC(0) Using 13 workers of 13 for evacuation
[3.535s][info][gc,phases   ] GC(0)   Pre Evacuate Collection Set: 0.2ms
[3.535s][info][gc,phases   ] GC(0)   Merge Heap Roots: 0.1ms
[3.535s][info][gc,phases   ] GC(0)   Evacuate Collection Set: 10.1ms
[3.535s][info][gc,phases   ] GC(0)   Post Evacuate Collection Set: 0.5ms
[3.535s][info][gc,phases   ] GC(0)   Other: 0.3ms
[3.535s][info][gc,heap     ] GC(0) Eden regions: 89->0(77)
[3.535s][info][gc,heap     ] GC(0) Survivor regions: 0->12(12)
[3.535s][info][gc,heap     ] GC(0) Old regions: 0->5
[3.535s][info][gc,heap     ] GC(0) Humongous regions: 0->0
[3.535s][info][gc,metaspace] GC(0) Metaspace: 7718K(8064K)->7718K(8064K) NonClass: 6907K(7104K)->6907K(7104K) Class: 811K(960K)->811K(960K)
[3.535s][info][gc          ] GC(0) Pause Young (Normal) (G1 Evacuation Pause) 356M->67M(7168M) 11.457ms
[3.535s][info][gc,cpu      ] GC(0) User=0.06s Sys=0.06s Real=0.01s
[3.666s][info][gc,start    ] GC(1) Pause Young (Normal) (G1 Evacuation Pause)
[3.666s][info][gc,task     ] GC(1) Using 13 workers of 13 for evacuation
[3.679s][info][gc,phases   ] GC(1)   Pre Evacuate Collection Set: 0.3ms
[3.679s][info][gc,phases   ] GC(1)   Merge Heap Roots: 0.1ms
[3.679s][info][gc,phases   ] GC(1)   Evacuate Collection Set: 12.0ms
[3.679s][info][gc,phases   ] GC(1)   Post Evacuate Collection Set: 0.7ms
[3.679s][info][gc,phases   ] GC(1)   Other: 0.1ms
[3.679s][info][gc,heap     ] GC(1) Eden regions: 77->0(77)
[3.679s][info][gc,heap     ] GC(1) Survivor regions: 12->12(12)
[3.679s][info][gc,heap     ] GC(1) Old regions: 5->21
[3.679s][info][gc,heap     ] GC(1) Humongous regions: 0->0
[3.679s][info][gc,metaspace] GC(1) Metaspace: 7722K(8064K)->7722K(8064K) NonClass: 6910K(7104K)->6910K(7104K) Class: 811K(960K)->811K(960K)
[3.679s][info][gc          ] GC(1) Pause Young (Normal) (G1 Evacuation Pause) 375M->129M(7168M) 13.211ms
[3.679s][info][gc,cpu      ] GC(1) User=0.05s Sys=0.03s Real=0.01s
[3.803s][info][gc,start    ] GC(2) Pause Young (Normal) (G1 Evacuation Pause)
[3.803s][info][gc,task     ] GC(2) Using 13 workers of 13 for evacuation
[3.816s][info][gc,phases   ] GC(2)   Pre Evacuate Collection Set: 0.2ms
[3.816s][info][gc,phases   ] GC(2)   Merge Heap Roots: 0.1ms
[3.816s][info][gc,phases   ] GC(2)   Evacuate Collection Set: 12.4ms
[3.816s][info][gc,phases   ] GC(2)   Post Evacuate Collection Set: 0.5ms
[3.816s][info][gc,phases   ] GC(2)   Other: 0.1ms
[3.816s][info][gc,heap     ] GC(2) Eden regions: 77->0(77)
[3.816s][info][gc,heap     ] GC(2) Survivor regions: 12->12(12)
[3.816s][info][gc,heap     ] GC(2) Old regions: 21->37
[3.816s][info][gc,heap     ] GC(2) Humongous regions: 0->0
[3.816s][info][gc,metaspace] GC(2) Metaspace: 7722K(8064K)->7722K(8064K) NonClass: 6910K(7104K)->6910K(7104K) Class: 811K(960K)->811K(960K)
[3.816s][info][gc          ] GC(2) Pause Young (Normal) (G1 Evacuation Pause) 437M->192M(7168M) 13.433ms
[3.816s][info][gc,cpu      ] GC(2) User=0.03s Sys=0.03s Real=0.01s
[3.938s][info][gc,start    ] GC(3) Pause Young (Normal) (G1 Evacuation Pause)
[3.938s][info][gc,task     ] GC(3) Using 13 workers of 13 for evacuation
[3.951s][info][gc,phases   ] GC(3)   Pre Evacuate Collection Set: 0.2ms
[3.951s][info][gc,phases   ] GC(3)   Merge Heap Roots: 0.0ms
[3.951s][info][gc,phases   ] GC(3)   Evacuate Collection Set: 11.9ms
[3.951s][info][gc,phases   ] GC(3)   Post Evacuate Collection Set: 0.5ms
[3.951s][info][gc,phases   ] GC(3)   Other: 0.1ms
[3.951s][info][gc,heap     ] GC(3) Eden regions: 77->0(77)
[3.951s][info][gc,heap     ] GC(3) Survivor regions: 12->12(12)
[3.951s][info][gc,heap     ] GC(3) Old regions: 37->52
[3.951s][info][gc,heap     ] GC(3) Humongous regions: 0->0
[3.951s][info][gc,metaspace] GC(3) Metaspace: 7722K(8064K)->7722K(8064K) NonClass: 6910K(7104K)->6910K(7104K) Class: 811K(960K)->811K(960K)
[3.951s][info][gc          ] GC(3) Pause Young (Normal) (G1 Evacuation Pause) 500M->254M(7168M) 12.907ms
[3.951s][info][gc,cpu      ] GC(3) User=0.00s Sys=0.00s Real=0.01s
[4.075s][info][gc,start    ] GC(4) Pause Young (Normal) (G1 Evacuation Pause)
[4.075s][info][gc,task     ] GC(4) Using 13 workers of 13 for evacuation
[4.088s][info][gc,phases   ] GC(4)   Pre Evacuate Collection Set: 0.2ms
[4.088s][info][gc,phases   ] GC(4)   Merge Heap Roots: 0.0ms
[4.088s][info][gc,phases   ] GC(4)   Evacuate Collection Set: 12.1ms
[4.088s][info][gc,phases   ] GC(4)   Post Evacuate Collection Set: 0.5ms
[4.088s][info][gc,phases   ] GC(4)   Other: 0.1ms
[4.088s][info][gc,heap     ] GC(4) Eden regions: 77->0(77)
[4.088s][info][gc,heap     ] GC(4) Survivor regions: 12->12(12)
[4.088s][info][gc,heap     ] GC(4) Old regions: 52->68
[4.088s][info][gc,heap     ] GC(4) Humongous regions: 0->0
[4.088s][info][gc,metaspace] GC(4) Metaspace: 7734K(8064K)->7734K(8064K) NonClass: 6922K(7104K)->6922K(7104K) Class: 811K(960K)->811K(960K)
[4.088s][info][gc          ] GC(4) Pause Young (Normal) (G1 Evacuation Pause) 562M->317M(7168M) 13.001ms
[4.088s][info][gc,cpu      ] GC(4) User=0.03s Sys=0.05s Real=0.01s
[4.207s][info][gc,start    ] GC(5) Pause Young (Normal) (G1 Evacuation Pause)
[4.207s][info][gc,task     ] GC(5) Using 13 workers of 13 for evacuation
[4.220s][info][gc,phases   ] GC(5)   Pre Evacuate Collection Set: 0.2ms
[4.220s][info][gc,phases   ] GC(5)   Merge Heap Roots: 0.0ms
[4.220s][info][gc,phases   ] GC(5)   Evacuate Collection Set: 12.4ms
[4.220s][info][gc,phases   ] GC(5)   Post Evacuate Collection Set: 0.3ms
[4.220s][info][gc,phases   ] GC(5)   Other: 0.0ms
[4.220s][info][gc,heap     ] GC(5) Eden regions: 77->0(77)
[4.220s][info][gc,heap     ] GC(5) Survivor regions: 12->12(12)
[4.220s][info][gc,heap     ] GC(5) Old regions: 68->83
[4.220s][info][gc,heap     ] GC(5) Humongous regions: 0->0
[4.220s][info][gc,metaspace] GC(5) Metaspace: 7734K(8064K)->7734K(8064K) NonClass: 6922K(7104K)->6922K(7104K) Class: 811K(960K)->811K(960K)
[4.220s][info][gc          ] GC(5) Pause Young (Normal) (G1 Evacuation Pause) 625M->378M(7168M) 13.154ms
