[0.009s][info][gc,init] CardTable entry size: 512
[0.010s][info][gc     ] Using G1
[0.030s][info][gc,init] Version: 21.0.2+13-58 (release)
[0.030s][info][gc,init] CPUs: 16 total, 16 available
[0.030s][info][gc,init] Memory: 32555M
[0.030s][info][gc,init] Large Page Support: Disabled
[0.030s][info][gc,init] NUMA Support: Disabled
[0.030s][info][gc,init] Compressed Oops: Enabled (Zero based)
[0.030s][info][gc,init] Heap Region Size: 8M
[0.030s][info][gc,init] Heap Min Capacity: 9G
[0.030s][info][gc,init] Heap Initial Capacity: 9G
[0.030s][info][gc,init] Heap Max Capacity: 9G
[0.030s][info][gc,init] Pre-touch: Disabled
[0.030s][info][gc,init] Parallel Workers: 13
[0.030s][info][gc,init] Concurrent Workers: 3
[0.030s][info][gc,init] Concurrent Refinement Workers: 13
[0.030s][info][gc,init] Periodic GC: Disabled
[0.039s][info][gc,metaspace] CDS archive(s) mapped at: [0x000002398e000000-0x000002398ec90000-0x000002398ec90000), size 13172736, SharedBaseAddress: 0x000002398e000000, ArchiveRelocationMode: 1.
[0.039s][info][gc,metaspace] Compressed class space mapped at: 0x000002398f000000-0x00000239cf000000, reserved size: 1073741824
[0.039s][info][gc,metaspace] Narrow klass base: 0x000002398e000000, Narrow klass shift: 0, Narrow klass range: 0x100000000
[3.510s][info][gc,start    ] GC(0) Pause Young (Normal) (G1 Evacuation Pause)
[3.511s][info][gc,task     ] GC(0) Using 13 workers of 13 for evacuation
[3.525s][info][gc,phases   ] GC(0)   Pre Evacuate Collection Set: 0.2ms
[3.525s][info][gc,phases   ] GC(0)   Merge Heap Roots: 0.1ms
[3.525s][info][gc,phases   ] GC(0)   Evacuate Collection Set: 12.9ms
[3.525s][info][gc,phases   ] GC(0)   Post Evacuate Collection Set: 0.7ms
[3.525s][info][gc,phases   ] GC(0)   Other: 0.4ms
[3.525s][info][gc,heap     ] GC(0) Eden regions: 57->0(49)
[3.525s][info][gc,heap     ] GC(0) Survivor regions: 0->8(8)
[3.525s][info][gc,heap     ] GC(0) Old regions: 0->3
[3.525s][info][gc,heap     ] GC(0) Humongous regions: 0->0
[3.525s][info][gc,metaspace] GC(0) Metaspace: 7719K(8064K)->7719K(8064K) NonClass: 6907K(7104K)->6907K(7104K) Class: 812K(960K)->812K(960K)
[3.525s][info][gc          ] GC(0) Pause Young (Normal) (G1 Evacuation Pause) 456M->80M(9216M) 14.497ms
[3.525s][info][gc,cpu      ] GC(0) User=0.03s Sys=0.00s Real=0.01s
[3.694s][info][gc,start    ] GC(1) Pause Young (Normal) (G1 Evacuation Pause)
